sequence,variable,value
1562,param_79,0.0034583279325988334
1563,param_79,0.0034583279325988334
1564,param_79,0.0034583279325988334
1565,param_79,0.0034583279325988334
1566,param_79,0.0034583279325988334
0,param_80,-0.0026
1,param_80,-0.012
2,param_80,-0.1134
3,param_80,-0.1051
4,param_80,-0.0178
5,param_80,-0.0853
6,param_80,-0.0022
7,param_80,-0.0765
8,param_80,-0.094
9,param_80,-0.0854
10,param_80,-0.0996
11,param_80,-0.0001
12,param_80,-0.0815
13,param_80,0.0087
14,param_80,0.0629
15,param_80,0.0819
16,param_80,-0.0574
17,param_80,-0.0012
18,param_80,-0.0011
19,param_80,-0.1092
20,param_80,-0.0141
21,param_80,-0.0378
22,param_80,-0.0477
23,param_80,-0.0906
24,param_80,-0.0795
25,param_80,0.0137
26,param_80,-0.0023
27,param_80,0.0968
28,param_80,-0.0902
29,param_80,0.0897
30,param_80,0.1009
31,param_80,-0.0805
32,param_80,0.0022
33,param_80,-0.0003
34,param_80,0.1186
173,param_83,6.7355
174,param_83,6.2952
175,param_83,6.8277
176,param_83,7.3686
177,param_83,6.6509
178,param_83,6.8672
179,param_83,6.7159
689,param_80,-0.084
690,param_80,0.0113
691,param_80,-0.0823
692,param_80,-0.0213
693,param_80,-0.0039
694,param_80,0.0065
695,param_80,-0.0128
696,param_80,-0.0032
697,param_80,0.0352
698,param_80,0.0239
699,param_80,-0.008
700,param_80,-0.0996
701,param_80,-0.008
1029,param_80,-0.0135
1030,param_80,0.0028
1031,param_80,0.0188
1032,param_80,0.0211
1033,param_80,-0.0333
1034,param_80,-0.0299
1035,param_80,0.0081
1036,param_80,-0.0222
1037,param_80,-0.0297
1038,param_80,0.0164
1039,param_80,-0.0141
1040,param_80,-0.0199
1041,param_80,-0.0217
1042,param_80,-0.0227
1043,param_80,-0.0028
1044,param_80,0.0379
1045,param_80,0.0406
1046,param_80,-0.0247
1047,param_80,-0.0207
1048,param_80,0.0005
1049,param_80,-0.027
1050,param_80,-0.0377
1051,param_80,0.0087
1052,param_80,0.0181
1053,param_80,-0.0456
1054,param_80,0.0398
1055,param_80,-0.003
1056,param_80,-0.0351
1057,param_80,0.0132
1058,param_80,0.031
1059,param_80,-0.0328
1060,param_80,-0.0111
1061,param_80,-0.0226
1062,param_80,-0.0441
1063,param_80,-0.0154
1064,param_80,0.0137
1065,param_80,-0.0452
1066,param_80,-0.0386
1067,param_80,0.0193
1068,param_80,-0.0262
1069,param_80,-0.0421
1070,param_80,-0.007
1071,param_80,-0.0093
1072,param_80,-0.0401
1073,param_80,-0.0531
1074,param_80,-0.0038
1075,param_80,-0.0264
1076,param_80,-0.0291
1077,param_80,-0.0547
1078,param_80,-0.0136
1079,param_80,-0.0272
1080,param_80,-0.0436
1081,param_80,0.0048
1082,param_80,-0.045
1083,param_80,-0.015
1084,param_80,-0.0211
1085,param_80,-0.0166
1086,param_80,-0.0345
1087,param_80,-0.0399
1088,param_80,-0.0085
1089,param_80,0.0073
1090,param_80,-0.0588
1091,param_80,-0.0046
1092,param_80,-0.0143
1093,param_80,-0.0032
1094,param_80,-0.001
1095,param_80,-0.0085
1096,param_80,-0.0398
1097,param_80,-0.0245
1098,param_80,-0.0043
1099,param_80,-0.0009
1100,param_80,-0.0034
1101,param_80,0.0064
1102,param_80,-0.0168
1103,param_80,-0.0149
1104,param_80,-0.045
1105,param_80,-0.0097
1106,param_80,-0.0255
1107,param_80,-0.0302
1108,param_80,-0.0101
1109,param_80,-0.0461
1110,param_80,0.015
1111,param_80,0.0
1112,param_80,-0.0109
1113,param_80,-0.0376
1114,param_80,-0.0229
1115,param_80,-0.0369
1116,param_80,-0.0276
1117,param_80,-0.0552
1118,param_80,-0.0127
1119,param_80,-0.0448
1120,param_80,-0.0141
1121,param_80,-0.0187
1122,param_80,-0.0106
1123,param_80,-0.0367
1124,param_80,-0.0227
1125,param_80,-0.0265
1126,param_80,-0.0373
1127,param_80,-0.0236
1128,param_80,-0.033
1129,param_80,-0.012
1130,param_80,-0.0131
1131,param_80,-0.0261
1132,param_80,-0.0238
1133,param_80,-0.0181
1134,param_80,-0.011
1135,param_80,-0.0015
1136,param_80,-0.0115
1137,param_80,-0.0086
1138,param_80,-0.0473
1139,param_80,-0.031
1140,param_80,-0.0134
1141,param_80,-0.0099
1142,param_80,-0.0248
1143,param_80,-0.0258
1144,param_80,0.0186
1145,param_80,-0.0386
1146,param_80,-0.0255
1147,param_80,0.0051
1148,param_80,-0.0115
1149,param_80,-0.029
1150,param_80,-0.0194
1151,param_80,-0.005
1152,param_80,-0.0007
1153,param_80,-0.0125
1154,param_80,-0.0072
1155,param_80,-0.042
1156,param_80,-0.006
1157,param_80,-0.0093
1158,param_80,-0.0479
1159,param_80,0.0045
1160,param_80,-0.0107
1161,param_80,0.0057
1162,param_80,-0.0606
1163,param_80,0.0085
1164,param_80,0.0081
1165,param_80,-0.0193
1166,param_80,-0.0151
1167,param_80,-0.0025
1168,param_80,-0.0043
1169,param_80,-0.026
1170,param_80,-0.0052
1171,param_80,-0.0242
1172,param_80,-0.0107
1173,param_80,-0.0349
1174,param_80,-0.0156
1175,param_80,-0.0056
1176,param_80,-0.0187
1177,param_80,0.0069
1178,param_80,-0.0164
1179,param_80,-0.0122
1180,param_80,-0.0032
1181,param_80,0.0014
1182,param_80,-0.0048
1183,param_80,0.0022
1184,param_80,-0.0011
1185,param_80,0.0017
1186,param_80,-0.0097
1187,param_80,0.0039
1188,param_80,-0.0377
1189,param_80,0.0063
1190,param_80,0.0055
1191,param_80,-0.0084
1192,param_80,0.0076
1193,param_80,-0.0186
1194,param_80,0.0012
1195,param_80,0.0145
1196,param_80,-0.0092
1197,param_80,0.0007
1198,param_80,-0.0276
1199,param_80,0.0003
1200,param_80,-0.0323
1201,param_80,0.0047
1202,param_80,-0.0008
1203,param_80,-0.0253
1204,param_80,-0.0159
1205,param_80,-0.0244
1206,param_80,-0.0072
1207,param_80,0.014
1208,param_80,-0.0086
1209,param_80,-0.0004
1210,param_80,0.0116
1211,param_80,-0.0435
1212,param_80,0.0399
1213,param_80,-0.014
1214,param_80,0.0
1215,param_80,-0.0006
1216,param_80,-0.0063
1217,param_80,0.0011
1218,param_80,-0.0168
1219,param_80,-0.0227
1220,param_80,0.0135
1221,param_80,0.0188
1222,param_80,0.0249
1223,param_80,0.0225
1224,param_80,-0.0272
1225,param_80,-0.0267
1226,param_80,-0.0338
1227,param_80,0.0278
1228,param_80,-0.0029
1229,param_80,0.0065
1230,param_80,0.0098
1231,param_80,0.0027
1232,param_80,0.0154
1233,param_80,0.0292
1234,param_80,-0.0051
1235,param_80,0.021
1236,param_80,0.0058
1237,param_80,-0.0117
1238,param_80,-0.0156
1239,param_80,0.0037
1240,param_80,-0.0029
1241,param_80,-0.008
1242,param_80,0.0073
1243,param_80,0.0053
1244,param_80,-0.0001
1245,param_80,-0.0018
1246,param_80,0.0081
1247,param_80,0.0176
1248,param_80,0.0074
1249,param_80,0.02
1250,param_80,0.0405
1251,param_80,0.0025
1252,param_80,0.0021
1253,param_80,0.0153
1254,param_80,0.0259
1255,param_80,0.0154
1256,param_80,0.0118
1257,param_80,0.0552
1258,param_80,0.008
1259,param_80,-0.0015
1260,param_80,-0.0005
1261,param_80,-0.0145
1262,param_80,-0.0021
1263,param_80,0.0055
1264,param_80,-0.0034
1265,param_80,-0.0091
1266,param_80,-0.0016
1267,param_80,0.0137
1268,param_80,0.0203
1269,param_80,0.0083
1270,param_80,0.0103
1271,param_80,-0.0099
1272,param_80,-0.0093
1273,param_80,0.0048
1274,param_80,-0.0181
1275,param_80,0.0119
1276,param_80,-0.0067
1277,param_80,0.0056
1278,param_80,0.005
1279,param_80,0.0127
1280,param_80,-0.008
1281,param_80,-0.0046
1282,param_80,0.0074
1283,param_80,0.013
1284,param_80,-0.0132
1285,param_80,-0.0141
1286,param_80,-0.0285
1287,param_80,0.0097
1288,param_80,0.0015
1289,param_80,-0.0292
1290,param_80,-0.0142
1291,param_80,-0.0038
1292,param_80,-0.0143
1293,param_80,0.0069
1294,param_80,-0.0072
1295,param_80,-0.0208
1296,param_80,0.0159
1297,param_80,-0.0073
1298,param_80,-0.0162
1299,param_80,-0.0092
1300,param_80,-0.0045
1301,param_80,-0.0106
1302,param_80,-0.0389
1303,param_80,-0.0124
1304,param_80,-0.0192
1305,param_80,-0.0082
1306,param_80,0.007
1307,param_80,0.0183
1308,param_80,-0.0103
1309,param_80,0.0173
1310,param_80,-0.0248
1311,param_80,-0.0083
1312,param_80,-0.0005
1313,param_80,-0.0176
1314,param_80,-0.0089
1315,param_80,-0.0148
1316,param_80,-0.0372
1317,param_80,0.0174
1318,param_80,-0.027
1319,param_80,-0.0138
1320,param_80,-0.0359
1321,param_80,-0.0032
1322,param_80,0.0089
1323,param_80,0.005
1324,param_80,-0.0027
1325,param_80,-0.0093
1326,param_80,0.0023
1327,param_80,0.0173
1328,param_80,0.0082
1329,param_80,-0.0126
1330,param_80,-0.0083
1331,param_80,0.0106
1332,param_80,0.0071
1333,param_80,0.0022
1436,param_83,7.5539
1437,param_83,7.1634
1438,param_83,7.9018
1439,param_83,6.9761
1440,param_83,7.4606
1441,param_83,7.5921
1442,param_83,7.5951
412,param_125,1.064
413,param_125,1.191
414,param_125,1.035
415,param_125,1.035
416,param_125,1.239
417,param_125,1.035
418,param_125,1.035
419,param_125,1.191
420,param_125,1.035
421,param_125,1.239
422,param_125,1.191
423,param_125,1.191
424,param_125,1.035
381,param_80,-0.094
382,param_80,-0.0919
383,param_80,-0.1007
384,param_80,-0.0859
385,param_80,-0.1094
386,param_80,-0.0984
387,param_80,-0.0986
388,param_80,-0.114
389,param_80,-0.0852
390,param_80,-0.1132
391,param_80,-0.1134
392,param_80,-0.009
393,param_80,-0.1069
394,param_80,-0.0288
395,param_80,-0.0972
396,param_80,-0.0086
397,param_80,-0.1138
398,param_80,-0.0941
399,param_80,-0.1046
400,param_80,-0.1187
401,param_80,-0.1137
402,param_80,-0.0135
403,param_80,-0.0939
404,param_80,0.0162
405,param_80,-0.0192
406,param_80,-0.1139
407,param_80,-0.0983
408,param_80,-0.1011
409,param_80,-0.0048
410,param_80,-0.1073
411,param_80,-0.0963
412,param_80,-0.0924
413,param_80,-0.0949
414,param_80,-0.1023
415,param_80,-0.1076
416,param_80,-0.0362
417,param_80,-0.1156
418,param_80,-0.0936
419,param_80,-0.0971
420,param_80,-0.0936
421,param_80,-0.0193
422,param_80,-0.0963
423,param_80,-0.0998
424,param_80,-0.008
425,param_80,-0.0881
426,param_80,-0.0852
427,param_80,-0.081
428,param_80,-0.0684
429,param_80,-0.0777
430,param_80,-0.0857
431,param_80,-0.0751
432,param_80,-0.0963
433,param_80,-0.0876
434,param_80,-0.003
435,param_80,-0.1021
436,param_80,-0.0092
437,param_80,-0.1137
438,param_80,-0.1019
439,param_80,-0.0858
440,param_80,-0.0911
441,param_80,-0.1077
442,param_80,0.0281
443,param_80,0.0106
444,param_80,0.0243
445,param_80,0.0158
446,param_80,-0.0379
447,param_80,-0.0133
448,param_80,0.0048
449,param_80,0.0249
450,param_80,-0.0628
451,param_80,-0.0001
452,param_80,0.0061
453,param_80,-0.0087
454,param_80,0.0071
455,param_80,0.0106
456,param_80,0.0365
457,param_80,0.0394
458,param_80,0.0508
459,param_80,0.0783
460,param_80,0.091
461,param_80,0.1083
462,param_80,0.1043
463,param_80,0.1052
464,param_80,0.0661
465,param_80,0.0836
466,param_80,0.0279
467,param_80,0.0523
468,param_80,0.0575
469,param_80,0.0431
470,param_80,0.0402
471,param_80,0.1037
472,param_80,0.0513
473,param_80,0.0914
474,param_80,0.0746
475,param_80,0.0506
476,param_80,0.0911
477,param_80,0.0857
478,param_80,0.0861
479,param_80,0.0614
480,param_80,0.0307
481,param_80,0.0766
482,param_80,0.0577
483,param_80,0.0865
484,param_80,0.0186
485,param_80,0.0454
486,param_80,0.0255
487,param_80,0.0252
488,param_80,0.0413
489,param_80,0.047
490,param_80,0.0362
491,param_80,-0.0101
492,param_80,-0.0017
493,param_80,0.0102
494,param_80,0.0208
495,param_80,0.058
496,param_80,0.0501
497,param_80,0.0437
498,param_80,0.0769
499,param_80,-0.1052
500,param_80,-0.0903
501,param_80,0.0725
502,param_80,0.0093
503,param_80,0.0544
504,param_80,0.0041
505,param_80,0.0583
506,param_80,-0.0878
507,param_80,-0.1055
508,param_80,0.0374
509,param_80,0.023
510,param_80,0.1108
511,param_80,-0.0809
512,param_80,-0.0031
513,param_80,-0.0732
514,param_80,-0.0058
515,param_80,-0.0067
516,param_80,-0.0883
517,param_80,-0.0129
518,param_80,0.0065
519,param_80,-0.1011
520,param_80,-0.1014
521,param_80,0.0052
522,param_80,0.0002
523,param_80,-0.1137
524,param_80,-0.0199
525,param_80,0.0178
526,param_80,-0.0078
527,param_80,-0.0955
528,param_80,-0.1076
529,param_80,-0.0896
530,param_80,-0.0814
531,param_80,-0.1074
532,param_80,-0.1204
533,param_80,-0.1024
534,param_80,-0.1118
535,param_80,-0.1069
536,param_80,-0.0973
537,param_80,-0.0986
538,param_80,-0.1023
539,param_80,-0.1119
540,param_80,-0.0067
541,param_80,-0.013
542,param_80,-0.083
543,param_80,-0.0923
544,param_80,-0.112
545,param_80,-0.1058
546,param_80,-0.1036
547,param_80,-0.1148
548,param_80,-0.1202
549,param_80,-0.1035
550,param_80,-0.1103
551,param_80,-0.1003
552,param_80,-0.1013
553,param_80,-0.0974
554,param_80,-0.1094
555,param_80,-0.0723
556,param_80,-0.0802
557,param_80,-0.0723
558,param_80,-0.086
559,param_80,-0.0964
560,param_80,-0.0872
561,param_80,-0.0995
562,param_80,-0.0998
563,param_80,-0.0794
564,param_80,-0.0807
565,param_80,-0.1039
566,param_80,-0.006
567,param_80,-0.1008
568,param_80,0.0003
569,param_80,-0.0867
570,param_80,-0.0765
571,param_80,0.0185
572,param_80,-0.1174
573,param_80,-0.0871
574,param_80,0.0102
575,param_80,-0.1084
576,param_80,-0.0824
577,param_80,0.0033
578,param_80,-0.1085
579,param_80,-0.094
580,param_80,-0.0268
581,param_80,-0.1113
582,param_80,-0.071
583,param_80,-0.0025
584,param_80,-0.1014
585,param_80,-0.1002
586,param_80,-0.1084
587,param_80,-0.0792
588,param_80,0.0008
589,param_80,-0.0972
590,param_80,-0.0852
591,param_80,-0.0274
592,param_80,-0.098
593,param_80,-0.0944
594,param_80,0.0007
595,param_80,-0.077
596,param_80,-0.1114
597,param_80,-0.1052
598,param_80,-0.1054
599,param_80,0.007
600,param_80,0.0039
601,param_80,-0.1012
602,param_80,0.02
603,param_80,-0.0208
604,param_80,-0.08
605,param_80,-0.0065
606,param_80,0.004
607,param_80,-0.0861
608,param_80,-0.0961
609,param_80,0.0157
610,param_80,-0.094
611,param_80,-0.0084
612,param_80,-0.0967
613,param_80,-0.0733
614,param_80,0.0928
615,param_80,-0.0878
616,param_80,0.0813
617,param_80,-0.0907
618,param_80,0.1093
619,param_80,0.1133
620,param_80,0.1018
621,param_80,0.0903
622,param_80,0.0087
623,param_80,-0.09
624,param_80,-0.0054
625,param_80,-0.0907
626,param_80,0.0022
627,param_80,-0.0062
628,param_80,-0.0079
629,param_80,-0.0135
630,param_80,0.0104
631,param_80,0.0095
632,param_80,0.0176
633,param_80,-0.0916
634,param_80,-0.0682
635,param_80,-0.082
636,param_80,-0.0777
637,param_80,0.0009
638,param_80,-0.0126
639,param_80,0.0047
640,param_80,-0.0038
641,param_80,0.0235
642,param_80,-0.0037
643,param_80,0.0094
644,param_80,0.012
645,param_80,-0.0191
646,param_80,-0.0082
647,param_80,-0.0968
648,param_80,-0.0919
649,param_80,-0.0005
650,param_80,0.0177
651,param_80,0.0161
652,param_80,0.007
653,param_80,-0.0885
654,param_80,0.0229
655,param_80,-0.0738
656,param_80,0.0132
657,param_80,-0.0628
658,param_80,0.0051
659,param_80,0.0263
660,param_80,-0.0779
661,param_80,-0.082
662,param_80,-0.096
663,param_80,-0.0745
664,param_80,-0.0792
665,param_80,-0.0835
666,param_80,0.0194
667,param_80,-0.102
668,param_80,-0.0784
669,param_80,0.0086
670,param_80,0.0287
671,param_80,-0.0937
672,param_80,0.0277
673,param_80,-0.0838
674,param_80,0.017
675,param_80,-0.0774
676,param_80,-0.0634
677,param_80,-0.0854
678,param_80,-0.0905
679,param_80,-0.0819
680,param_80,-0.0728
681,param_80,-0.0861
805,param_83,8.0198
806,param_83,7.0288
807,param_83,7.6652
808,param_83,7.4209
809,param_83,7.3399
810,param_83,7.4799
811,param_83,7.8508
812,param_83,8.3635
1342,param_80,0.0041
1343,param_80,0.0162
1344,param_80,0.012
1345,param_80,0.016
1346,param_80,-0.0174
1347,param_80,-0.0121
1348,param_80,0.0023
1349,param_80,0.0184
1350,param_80,0.0147
1351,param_80,-0.0017
1352,param_80,0.0137
1353,param_80,0.0157
1354,param_80,0.0297
1355,param_80,0.0313
702,param_80,-0.0076
703,param_80,-0.0858
704,param_80,-0.0084
705,param_80,-0.0899
706,param_80,0.0147
707,param_80,-0.086
708,param_80,-0.0824
709,param_80,0.0134
710,param_80,0.0099
711,param_80,-0.0077
712,param_80,0.0224
713,param_80,0.005
714,param_80,0.0153
715,param_80,0.02
716,param_80,0.0025
717,param_80,-0.0614
718,param_80,0.0294
719,param_80,0.0077
720,param_80,-0.0743
721,param_80,-0.0825
722,param_80,0.0028
723,param_80,-0.0983
724,param_80,-0.0817
725,param_80,-0.0767
726,param_80,-0.0663
727,param_80,-0.0973
728,param_80,0.0186
729,param_80,-0.0768
730,param_80,-0.0836
731,param_80,-0.048
732,param_80,-0.0747
733,param_80,-0.067
734,param_80,-0.0796
735,param_80,0.0123
736,param_80,0.0119
737,param_80,0.0075
738,param_80,-0.0068
739,param_80,0.012
740,param_80,0.0126
741,param_80,-0.0056
742,param_80,0.0261
743,param_80,-0.0018
744,param_80,-0.015
745,param_80,0.0051
746,param_80,0.0038
747,param_80,0.0222
748,param_80,0.0336
749,param_80,0.0077
750,param_80,0.0029
751,param_80,0.0102
752,param_80,0.0342
753,param_80,-0.0152
754,param_80,0.0052
755,param_80,0.0154
756,param_80,0.0639
757,param_80,0.0511
758,param_80,0.0374
759,param_80,0.0228
760,param_80,0.0146
761,param_80,0.0669
762,param_80,0.0093
763,param_80,0.0554
764,param_80,0.0032
765,param_80,0.0215
766,param_80,0.0005
767,param_80,-0.0202
768,param_80,-0.0089
769,param_80,0.0279
770,param_80,0.0122
771,param_80,0.0348
772,param_80,0.0526
773,param_80,0.0033
774,param_80,0.0451
775,param_80,0.0248
776,param_80,0.0218
777,param_80,0.0459
778,param_80,0.0495
779,param_80,0.0146
780,param_80,0.0039
781,param_80,0.0129
782,param_80,0.0608
783,param_80,0.0009
784,param_80,-0.0115
785,param_80,0.033
786,param_80,0.0028
787,param_80,0.015
788,param_80,0.0041
789,param_80,0.0134
790,param_80,0.0389
791,param_80,0.0084
792,param_80,0.0168
793,param_80,-0.0141
794,param_80,0.0003
795,param_80,0.0416
796,param_80,0.0084
797,param_80,0.0078
798,param_80,0.0195
799,param_80,0.0052
800,param_80,0.0121
801,param_80,-0.0228
802,param_80,0.0218
803,param_80,0.0369
804,param_80,0.0142
805,param_80,0.0242
806,param_80,0.0173
807,param_80,0.0244
808,param_80,-0.0069
809,param_80,0.0249
810,param_80,0.0271
811,param_80,0.0013
812,param_80,-0.0068
813,param_80,0.0644
814,param_80,0.0796
815,param_80,-0.0062
816,param_80,0.0274
817,param_80,0.0155
818,param_80,-0.0114
819,param_80,0.0587
820,param_80,0.0118
821,param_80,0.0099
822,param_80,0.0368
823,param_80,0.0058
824,param_80,-0.0025
825,param_80,-0.0218
826,param_80,-0.0106
827,param_80,0.0044
828,param_80,-0.0047
829,param_80,0.0616
830,param_80,-0.0122
831,param_80,0.0147
832,param_80,-0.0023
833,param_80,-0.0077
834,param_80,-0.0005
835,param_80,-0.0141
836,param_80,0.0162
837,param_80,-0.0162
838,param_80,0.0193
839,param_80,-0.0087
840,param_80,-0.0007
841,param_80,-0.0164
842,param_80,0.0061
843,param_80,-0.0424
844,param_80,0.0053
845,param_80,-0.0043
846,param_80,-0.0307
847,param_80,0.0323
848,param_80,0.0132
849,param_80,-0.0287
850,param_80,-0.0298
851,param_80,-0.0298
852,param_80,0.0196
853,param_80,-0.0072
854,param_80,0.0014
855,param_80,0.0003
856,param_80,0.0287
857,param_80,0.0061
858,param_80,0.048
859,param_80,0.033
860,param_80,0.0222
861,param_80,0.0262
862,param_80,0.0409
863,param_80,0.0416
864,param_80,0.0014
865,param_80,0.0494
866,param_80,0.0449
867,param_80,0.0418
868,param_80,0.0331
869,param_80,0.0196
870,param_80,0.0517
871,param_80,0.0519
872,param_80,0.032
873,param_80,0.0341
874,param_80,0.0286
875,param_80,0.02
876,param_80,-0.0007
877,param_80,-0.0038
878,param_80,0.0064
879,param_80,-0.0274
880,param_80,-0.0096
881,param_80,-0.0027
882,param_80,-0.0019
883,param_80,-0.0059
884,param_80,-0.0104
885,param_80,-0.0199
886,param_80,-0.0141
887,param_80,-0.0265
